dimensions,rock_chance,grass_grow_back,owls_target_slow_mice,rand_catch,in_medias_res,m_number,m_die_of_hunger,m_preg_time,m_max_age,o_number,o_die_of_hunger,o_preg_time,o_max_age,rand_variance_trait,speed,ticks,sim ver,avg_speed_mouse,avg_speed_owl,non_NA_count_mice,non_NA_count_owls,repetitions,non_NA_fraction_mice,non_NA_fraction_owls,harmonic_mean
10,0,5,True,True,True,50,5,2,0,10,10,3,0,10,True,1000,1,143.0,50.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,5,2,0,10,10,5,0,10,True,1000,1,358.0,51.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,5,3,0,10,4,4,0,10,True,1000,1,170.0,44.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,5,3,0,10,4,5,0,10,True,1000,1,164.0,59.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,5,3,0,10,5,2,0,10,True,1000,1,131.0,88.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,5,3,0,10,5,3,0,3,True,500,1,80.0,77.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,5,3,0,10,5,3,0,5,True,500,1,113.0,79.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,5,3,0,10,5,3,0,6,True,500,1,92.0,40.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,5,3,0,10,5,3,0,10,True,1000,1,141.0,45.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,5,3,0,10,5,5,0,10,True,1000,1,116.0,24.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,5,3,0,10,6,4,0,10,True,1000,1,139.0,75.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,5,3,0,10,6,5,0,10,True,1000,1,306.0,70.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,5,3,0,10,7,4,0,10,True,1000,1,129.0,71.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,5,3,0,10,9,2,0,10,True,1000,1,117.0,42.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,5,4,0,10,5,2,0,10,True,1000,1,131.0,70.0,1,1,1,1.0,1.0,1.0
10,0,5,True,True,True,50,5,4,0,10,5,3,0,2,True,500,1,70.0,100.0,1,1,1,1.0,1.0,1.0
