dimensions,rock_chance,grass_grow_back,owls_target_slow_mice,rand_catch,in_medias_res,m_number,m_die_of_hunger,m_preg_time,m_max_age,o_number,o_die_of_hunger,o_preg_time,o_max_age,rand_variance_trait,speed,ticks,m_alive,o_alive,sim ver,avg_speed_mouse,avg_speed_owl,non_NA_count_mice,non_NA_count_owls,repetitions,non_NA_fraction_mice,non_NA_fraction_owls
10,0,2,False,True,True,50,3,2,0,10,5,5,0,10,True,500,100,0,1.0,58.0,,1,0,1,1.0,0.0
10,0,2,False,True,True,50,3,2,0,10,5,5,0,10,True,1000,94,5,1.0,89.0,45.0,1,1,1,1.0,1.0
10,0,2,False,True,True,50,3,2,0,10,5,5,0,10,True,1000,99,1,1.0,57.0,89.0,1,1,1,1.0,1.0
10,0,2,False,True,True,50,3,2,0,10,6,2,0,10,True,500,97,2,1.0,54.0,86.0,1,1,1,1.0,1.0
10,0,2,False,True,True,50,3,2,0,10,6,2,0,10,True,500,100,0,1.0,70.0,,1,0,1,1.0,0.0
10,0,2,False,True,True,50,3,2,0,10,6,2,0,10,True,1000,1,0,1.0,67.0,,1,0,1,1.0,0.0
10,0,2,False,True,True,50,3,2,0,10,6,2,0,10,True,1000,100,0,1.0,72.0,,1,0,1,1.0,0.0
10,0,2,False,True,True,50,3,2,0,10,6,3,0,10,True,500,1,0,1.0,60.0,,1,0,1,1.0,0.0
10,0,2,False,True,True,50,3,2,0,10,6,3,0,10,True,500,97,2,1.0,52.0,39.0,1,1,1,1.0,1.0
10,0,2,False,True,True,50,3,2,0,10,6,3,0,10,True,1000,98,1,1.0,31.0,13.0,1,1,1,1.0,1.0
10,0,2,False,True,True,50,3,2,0,10,6,3,0,10,True,1000,100,0,1.0,74.0,,1,0,1,1.0,0.0
10,0,2,False,True,True,50,3,2,0,10,6,4,0,10,True,500,98,2,1.0,54.0,87.0,1,1,1,1.0,1.0
10,0,2,False,True,True,50,3,2,0,10,6,4,0,10,True,500,99,1,1.0,37.0,69.0,1,1,1,1.0,1.0
10,0,2,False,True,True,50,3,2,0,10,6,4,0,10,True,1000,98,2,1.0,37.0,55.0,1,1,1,1.0,1.0
10,0,2,False,True,True,50,3,2,0,10,6,4,0,10,True,1000,100,0,1.0,56.0,,1,0,1,1.0,0.0
